"StudentID","ProgramCode","Gender","YearOfGraduation","CGPA","CGPA100","CGPA200","CGPA300","CGPA400","SGPA"
68983,"PET","Male","2013",4.6,4.64,4.43,4.67,4.79,4.1
74936,"MCB","Female","2013",4.22,4.08,3.88,4.41,4.69,2.73
36258,"MCE","Male","2010",3.78,3.38,4.16,3.75,3.63,3.75
91217,"CVE","Male","2013",2.6,2.91,2.68,2.16,2.9,2.29
78809,"CIS","Female","2010",3.18,3.43,3.13,3.1,3.02,2.41
83261,"MAT","Female","2012",4.8,4.61,4.89,4.86,4.57,3.91
56515,"CIS","Female","2011",2.79,2.91,3.14,2.94,2.34,2.66
57078,"CEN","Male","2013",3.48,3.42,2.93,3.4,4.07,3.4
47008,"MCE","Male","2012",3.27,3.98,2.73,2.94,3.97,2.66
58690,"MCB","Female","2012",4.41,4.35,4.02,4.72,4.77,4.3
94833,"CEN","Male","2014",2.71,3.82,2.59,2.39,2.69,3.59
34541,"BLD","Male","2010",3.42,2.89,3.33,3.05,3.44,2.15
27045,"CHE","Male","2010",4.32,4.24,4.38,4.19,4.63,2.32
88258,"PET","Female","2014",3.2,3.27,2.86,3,3.11,3.05
94075,"EEE","Male","2010",4.71,4.64,4.62,4.83,4.45,4.27
63772,"CHM","Female","2012",3.74,2.9,3.49,4.13,4.76,3.68
60815,"PET","Female","2010",3.01,2.86,3.02,2.54,3.57,3.13
89860,"CHE","Male","2010",2.95,3.4,2.68,2.95,2.75,3.13
65425,"MCE","Male","2014",3.54,4.2,3.16,2.5,3.74,4.03
67432,"MIS","Female","2012",3.51,2.68,3.54,3.93,3.83,2.89
43278,"ICE","Male","2014",4.59,4.73,4.08,4.87,4.45,2.67
49810,"EEE","Male","2012",4.06,4.45,4,4.19,3.38,3.75
78099,"CVE","Male","2013",3.08,2.69,3.33,2.29,3.59,2.34
40771,"CIS","Male","2012",3.23,3.42,2.8,3.03,3.36,2.88
26765,"CIS","Male","2012",3.32,3.58,3.26,3.66,2.91,2.14
68665,"EEE","Male","2013",3.23,4.07,2.94,3.19,3,2.89
96892,"CVE","Male","2010",2.56,2.28,2.14,1.87,2.68,4.2
50420,"MCB","Female","2011",2.6,2.98,2.34,2.58,2.59,2.97
24918,"CIS","Male","2011",3.37,3.17,3.36,3.55,3.5,2.71
62033,"CHM","Female","2011",4.57,4.14,4.67,4.77,4.81,3.98
49466,"CIS","Male","2012",3.18,3.64,1.92,3.23,2.98,2.85
72640,"MCB","Female","2014",4.12,3.81,3.8,4.65,4.49,2.78
24842,"MIS","Male","2014",2.47,1.99,1.48,2.19,2.89,1.95
33436,"EEE","Male","2012",3.09,3.74,3.15,2.58,2.76,2.57
79602,"ICE","Male","2012",3.35,3.87,3.38,2.76,3.5,2.5
36454,"EEE","Female","2012",3.41,3.45,3.2,3.51,3.19,3.13
